Algorithm,Goodput_Mean_Mbps,Goodput_Std,Goodput_CI_Lower,Goodput_CI_Upper,PLR_Mean_Percent,PLR_Std,PLR_CI_Lower,PLR_CI_Upper
CUBIC,0.1724,0.0,,,0.4240324892498806,0.0,,
RENO,0.10872,0.0,,,0.11636662331439522,1.5515838457795457e-17,0.1163666233143952,0.11636662331439523
YEAH,0.21424000000000004,3.1031676915590914e-17,0.21424,0.21424000000000007,0.07334963325183375,0.0,,
VEGAS,0.04168,0.0,,,0.11653071416680541,1.5515838457795457e-17,0.1165307141668054,0.11653071416680542
